,synid,class_name,urls,flickr_urls,imageNet2012_class_id
12835,n07715103,cauliflower,1170,930,938.0
12842,n07716358,zucchini,1093,731,939.0
12846,n07716906,spaghetti squash,758,433,940.0
12848,n07717410,acorn squash,1086,776,941.0
12849,n07717556,butternut squash,755,577,942.0
12857,n07718747,artichoke,1136,714,944.0
12870,n07720442,pepper,1180,980,945.0
12872,n07720875,bell pepper,1378,1159,945.0
12937,n07730033,cardoon,673,496,946.0
12970,n07734744,mushroom,1793,1516,947.0
12982,n07736371,sorrel,556,283,339.0
13016,n07742313,Granny Smith,1206,909,948.0
13020,n07742704,berry,1247,1201,949.0
13037,n07745940,strawberry,1478,1443,949.0
13045,n07747607,orange,1444,1425,950.0
13058,n07749582,lemon,1292,1252,951.0
13071,n07751451,plum,1204,1004,731.0
13084,n07753113,fig,1313,1217,952.0
13085,n07753275,pineapple,1209,1142,953.0
13087,n07753592,banana,1409,1382,954.0
13093,n07754684,jackfruit,1400,1276,955.0
13133,n07760859,custard apple,1013,568,956.0
13174,n07767847,pear,1279,1255,117.0
13175,n07768068,bosc,578,199,376.0
13181,n07768694,pomegranate,1561,1553,957.0
13200,n07771891,butternut,436,281,942.0
13203,n07772274,chestnut,1137,767,990.0
13218,n07800091,feed,3,0,319.0
13229,n07802026,hay,1504,1496,958.0
13240,n07803545,wheat,1233,883,202.0
13245,n07804323,rice,1149,1096,51.0
13249,n07804900,paddy,1222,959,734.0
13251,n07805254,mash,436,421,935.0
13284,n07811416,herb,113,49,34.0
13290,n07813107,salt,252,244,773.0
13306,n07815588,pepper,540,462,945.0
13331,n07819166,mint,1150,595,110.0
13390,n07827896,dill,461,371,363.0
13399,n07829412,sauce,748,437,960.0
13405,n07831146,carbonara,1287,840,959.0
13443,n07836838,chocolate sauce,1206,908,960.0
13473,n07840804,egg,1240,1230,969.0
13517,n07847198,cream,936,703,928.0
13537,n07850329,cheese,759,470,933.0
13600,n07858978,honey,1112,459,599.0
13603,n07859583,syrup,1085,347,960.0
13613,n07860988,dough,1249,967,961.0
13689,n07871810,meat loaf,1262,704,962.0
13697,n07873807,pizza,1289,1257,963.0
13708,n07875152,potpie,993,394,964.0
13748,n07880968,burrito,1291,813,965.0
13757,n07882886,mix,49,25,659.0
13787,n07889814,bitter,1199,658,133.0
13803,n07892512,red wine,1330,762,966.0
13840,n07897975,sack,892,92,414.0
13861,n07900825,port,1092,515,817.0
13895,n07906284,whiskey,1262,804,901.0
13902,n07907429,rye,1264,574,589.0
13903,n07907548,Scotch,1209,648,199.0
13930,n07911677,cocktail,1519,1032,503.0
13950,n07915213,grasshopper,227,20,311.0
13962,n07917272,screwdriver,575,33,784.0
14024,n07926785,mate,472,272,480.0
14049,n07930554,punch,1202,438,747.0
14058,n07932039,eggnog,918,313,969.0
14103,n07977870,library,1297,844,624.0
14107,n08242223,core,960,870,781.0
14117,n08496334,apron,8,7,411.0
14135,n08547544,crest,1385,702,89.0
14194,n08659446,field,1261,1164,447.0
14199,n08663703,desktop,505,407,527.0
14229,n09213434,bank,3,0,719.0
14230,n09213565,bank,270,22,719.0
14235,n09215437,basin,326,199,896.0
14236,n09217230,beach,1713,854,436.0
14237,n09218315,honeycomb,987,727,599.0
14239,n09218641,ben,1897,989,703.0
14245,n09229709,bubble,1450,1318,971.0
14257,n09248153,coast,321,7,978.0
14260,n09249155,collector,3,0,807.0
14263,n09256479,coral reef,1760,967,973.0
14268,n09262690,dale,246,30,191.0
14289,n09283767,foreland,714,480,976.0
14293,n09288635,geyser,1585,783,974.0
14295,n09289596,glen,190,34,60.0
14323,n09332890,lakeside,1735,977,975.0
14344,n09362316,mouth,10,5,593.0
14349,n09376198,ocean,1316,1281,628.0
14366,n09399592,promontory,1543,933,976.0
14373,n09403734,range,2029,1006,950.0
14376,n09406793,reef,1614,823,973.0
14388,n09421951,sandbar,1186,987,977.0
14393,n09428293,seashore,2382,1088,978.0
14396,n09432283,shell,1528,1291,116.0
14426,n09456207,terrace,1,0,706.0
14433,n09463226,tundra,114,19,270.0
14437,n09468604,valley,1395,816,979.0
14441,n09472597,volcano,1404,685,980.0
14480,n09618957,face,1570,1390,551.0
14484,n09620794,native,1265,912,105.0
14485,n09621232,native,1406,1080,105.0
14488,n09624168,male,1407,1285,249.0
14602,n09689435,Afghan,820,423,160.0
14630,n09699642,Dane,95,84,246.0
14674,n09716047,Italian,304,292,171.0
14677,n09718217,Japanese,1510,1220,152.0
14690,n09722658,Mexican,1208,817,268.0
14953,n09833536,baker,1079,480,415.0
14964,n09835506,ballplayer,1319,1000,981.0
15061,n09871229,cub,792,734,983.0
15072,n09874725,bride,1232,1209,982.0
15179,n09919451,chit,473,341,116.0
15196,n09927089,cleaner,401,163,882.0
15260,n09953350,confectioner,561,282,509.0
15405,n10019406,diver,1314,1300,983.0
15410,n10020890,doctor,1365,599,319.0
15444,n10037922,dry,503,45,589.0
15453,n10041373,earl,395,209,117.0
15506,n10063635,Eskimo,454,288,248.0
15509,n10064977,etcher,291,32,830.0
15540,n10077593,fan,870,814,545.0
15671,n10127186,gent,120,60,280.0
15728,n10147710,grocer,320,187,582.0
15729,n10147935,groom,1523,1515,982.0
15730,n10148035,groom,1431,1413,982.0
15733,n10149436,grunter,268,17,341.0
15735,n10150071,guard,1423,1423,556.0
15752,n10154601,hack,379,295,468.0
15920,n10225219,judge,818,417,400.0
16005,n10260706,life,1508,1049,625.0
16063,n10284064,maker,151,85,550.0
16104,n10300041,mate,363,309,480.0
16105,n10300154,mate,1114,942,480.0
16106,n10300303,mate,1263,1012,480.0
16220,n10342367,mute,49,24,249.0
16236,n10345302,narc,60,6,323.0
16287,n10366966,nurse,1357,865,580.0
16326,n10380672,orator,1245,725,617.0
16355,n10393909,painter,895,605,286.0
16382,n10403876,passenger,632,574,705.0
16445,n10435988,pitcher,1355,815,725.0
16466,n10443032,plumber,402,133,731.0
16496,n10464052,prayer,525,310,741.0
16563,n10492727,punching bag,260,182,747.0
16567,n10493835,puppy,21,17,29.0
16611,n10507482,rapper,252,157,921.0
16742,n10565667,scuba diver,1300,1027,983.0
16801,n10588965,shepherd,773,699,235.0
16849,n10611613,sleuth,1166,679,163.0
16890,n10630188,speaker,1269,801,632.0
16903,n10638922,sport,1424,1278,817.0
16904,n10639238,sport,376,257,817.0
16960,n10665587,stud,1243,949,831.0
17097,n10722575,trainer,280,255,828.0
17144,n10741367,urchin,443,276,328.0
17246,n10780284,widow,1084,580,75.0
17272,n10792856,wrecker,493,284,864.0
17275,n10794014,writer,53,53,878.0
17299,n11524451,wave,1277,1116,651.0
17569,n11693981,custard apple,604,301,956.0
17743,n11761650,inga,478,229,141.0
17781,n11779300,arum,1343,963,270.0
17973,n11855553,poke,545,283,452.0
18020,n11875938,head cabbage,896,150,936.0
18023,n11876634,cauliflower,931,626,938.0
18024,n11876803,broccoli,790,674,937.0
18034,n11879722,rape,1261,820,984.0
18035,n11879895,rapeseed,1501,1477,984.0
18064,n11892637,stock,1212,834,496.0
18203,n11939491,daisy,1630,1439,985.0
18237,n11950345,chrysanthemum,1312,1271,200.0
18267,n11959632,artichoke,1262,729,944.0
18268,n11959862,cardoon,1308,958,946.0
18440,n12019035,milkweed,495,99,323.0
18753,n12134025,rye,1125,351,589.0
18770,n12138444,milo,104,8,685.0
18782,n12142085,wheat,1052,862,202.0
18821,n12157179,rye,191,86,589.0
18829,n12159804,zucchini,184,165,939.0
18832,n12160303,spaghetti squash,893,447,940.0
18834,n12160857,acorn squash,1173,631,941.0
18838,n12161744,butternut squash,232,109,942.0
18951,n12205694,herb,1400,935,34.0
19079,n12262553,chestnut,225,89,990.0
19102,n12268246,oak,1216,295,501.0
19262,n12318965,butternut,445,30,942.0
19349,n12345280,pomegranate,1195,843,957.0
19361,n12352287,banana,1663,1627,954.0
19391,n12365158,Maria,127,45,734.0
19476,n12400720,jackfruit,1126,792,955.0
19479,n12401684,fig,1170,503,952.0
19839,n12548280,medic,1100,608,648.0
19997,n12607456,pineapple,918,659,953.0
20016,n12620196,rose,1637,1620,989.0
20066,n12638218,plum,1147,724,731.0
20125,n12651611,pear,1129,688,117.0
20279,n12708293,orange,1266,856,950.0
20293,n12711596,lemon,1297,734,951.0
20401,n12751172,titi,120,25,380.0
20424,n12757668,mate,91,12,480.0
20459,n12768369,horse chestnut,145,23,990.0
20460,n12768682,buckeye,1010,765,990.0
20507,n12786836,pinwheel,247,50,723.0
20893,n12931542,dill,1222,696,363.0
21024,n12985857,coral fungus,1158,716,991.0
21042,n12997919,mushroom,1406,904,947.0
21043,n12998815,agaric,1529,1365,992.0
21044,n13000891,mushroom,1329,1200,947.0
21045,n13001041,mushroom,1201,1140,947.0
21161,n13037406,gyromitra,818,137,993.0
21169,n13040303,stinkhorn,1174,695,994.0
21179,n13044778,earthstar,850,258,995.0
21194,n13052670,hen-of-the-woods,939,161,996.0
21197,n13054073,agaric,2024,1703,992.0
21198,n13054560,bolete,1530,1073,997.0
21236,n13068255,bunt,540,12,14.0
21237,n13068434,bunt,159,0,14.0
21281,n13085113,weed,61,41,323.0
21303,n13100677,vine,928,775,59.0
21355,n13131028,umbel,1247,544,82.0
21372,n13134947,fruit,1199,887,955.0
21374,n13135832,seed,626,456,984.0
21380,n13137409,berry,1405,1384,949.0
21386,n13138842,pome,541,85,957.0
21427,n13154494,frond,1344,1159,996.0
21610,n13233727,milkweed,257,254,323.0
21631,n13354021,pocketbook,399,208,893.0
21643,n13864035,bulb,1352,683,16.0
21657,n13868944,wave,1098,883,651.0
21659,n13869547,hook,1257,926,600.0
21660,n13869788,envelope,1257,920,549.0
21673,n13876561,helix,1578,1572,506.0
21684,n13880994,parallel,781,690,702.0
21714,n13897996,balance,1406,1378,416.0
21728,n13902793,taper,247,38,470.0
21744,n13914265,fork,16,14,561.0
21745,n13914608,block,1274,912,838.0
21760,n13926786,place,1402,784,762.0
21769,n14633206,carbon,2,0,959.0
21788,n14900184,agar,67,31,992.0
21815,n15075141,toilet tissue,1241,777,999.0
